id,"accession","source_link","study_title","organism","date_last_update","number_of_samples","study_category","summary","curated","pL_apt","gene_study","disease_study","drug_study"
2042,"GSE70046","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70046","Oncogenic deregulation of EZH2 as an opportunity for targeted therapy in lung cancer [RNA-Seq]","Mus musculus","11/1/15","7","RNA-Seq","  As a master regulator of chromatin structure and function the EZH2 lysine methyltransferase orchestrates transcriptional silencing of developmental gene networks. Overexpression of EZH2 is commonly observed in human epithelial cancers such as non- small cell lung carcinoma (NSCLC) yet definitive demonstration of malignant transformation by deregulated EZH2 has proven elusive. Here we demonstrate the causal role of EZH2 overexpression in NSCLC with a new genetically-engineered mouse model of lung adenocarcinoma. Deregulated EZH2 silences normal developmental pathways leading to epigenetic transformation independent from canonical growth factor pathway activation. As such tumors feature a transcriptional program distinct from KRAS- and EGFR-mutant mouse lung cancers but shared with human lung adenocarcinomas exhibiting high EZH2 expression. To target EZH2-dependent cancers we developed a novel and potent EZH2 inhibitor that arises from a facile synthesis and possesses improved pharmacologic properties. JQEZ5 promoted the regression of EZH2-driven tumors in vivo confirming oncogenic addiction to EZH2 in established tumors and providing the rationale for epigenetic therapy in a defined subset of lung cancer.																																																																																															",NULL,NULL,NULL,NULL,NULL
2069,"GSE73272","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73272"," RNA-Seq analysis of mouse group 2 innate lymphoid cells (ILC2s) cultured with IL-33, IFN-g, and IL-27","Mus musculus","10/30/15","9","RNA-Seq","  Purpose: We found that IFN-g and IL-27 had suppressive effects on ILC2s cultured with IL-33. The goal of this study is to clarify the expressions of RNA induced by IFN-g and IL-27 in ILC2s. Methods: ILC2s were isolated from fat-asociated lymphid clusters (FALC) of wild-type mice. They were cultured with IL-33 (10ng/ml) IL-33 + IFN-g (10ng/ml) or IL-33 + IL-27 (10ng/ml) for 48hrs. RNA was isolated by Allprep DNA/RNA Micro Kit (QIAGEN) and cDNA libraries were prepared by TruSeq RNA Sample Preparation kits v2 (Illumina) according to the manufacturer\\x89\\xdb\\xaas low sample protocol. A HiSeq 1500 system (Illumina) was used for 50 single-end bases (50SE)\\x8b\\xdb\\xdbsequencing. Results: Sequenced reads were trimmed for adaptor sequence and masked for low-complexity or low-quality sequence then mapped to the reference genome (mm9) using Bowtie2 v2.1.0 and TopHat2 v2.0.8. The transcript abundances were estimated as FPKM (fragments per kilobase of exon million fragments mapped) value using Cufflinks v2.1.1. We found that both IL-27 and IFN-g upregulated the expression of STAT1 and IRF1 which are regulated downstream of IFN-g receptor signaling but there was no difference in the expression of GATA3 a critical transcription factor for ILC2 functions. Conclusions: Our study represents the detailed differences of RNA expressions by RNA-seq technology.																																																																																																",NULL,NULL,NULL,NULL,NULL
2079,"GSE65321","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65321","Role of polycomb repressive complex 1 in the intestinal homeostasis [RNA-Seq]","Mus musculus","10/29/15","6","RNA-Seq","  These data include RNA Seq data generated from wild type and Ring1a Ring1b dKO ISCs from Lgr5Gfp-CreERT2 Lgr5Gfp-CreERT2 Ring1a-/- Ring1bf/f Lgr5Gfp-CreERT2-Ctnnb1-ex3 and Lgr5Gfp-CreERT2 Ring1a-/- Ring1bf/f-Ctnnb1-ex3 mice.																																																																																																					",NULL,NULL,NULL,NULL,NULL
2153,"GSE63801","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE63801","High-throughput small RNA sequencing of mouse primary macrophages treated with M-CSF withdrawal","Mus musculus","10/15/15","8","RNA-Seq","  Analysis of small RNAs that are deregulated in apoptotic macrophages																																																																																																							",NULL,NULL,NULL,NULL,NULL
2156,"GSE65973","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65973","RNA sequencing of mice expressing NLS-hTDP-43","Mus musculus","10/15/15","8","RNA-Seq","  TAR DNA-binding protein 43 (TDP-43) is normally a nuclear RNA-binding protein that exhibits a range of functions including regulation of alternative splicing RNA trafficking and RNA stability. However in amyotrophic lateral sclerosis (ALS) and frontotemporal lobar degeneration with TDP-43 inclusions (FTLD-TDP) TDP-43 is abnormally phosphorylated ubiquitinated and cleaved and is mislocalized to the cytoplasm where it forms distinctive aggregates. We previously developed a mouse model expressing human TDP-43 with a mutation in its nuclear localization signal (\\xeb\\xd3NLS-hTDP-43) so that the protein preferentially localizes to the cytoplasm. These mice did not exhibit a significant number of cytoplasmic aggregates but did display a loss of endogenous mouse nuclear TDP-43 as well as dramatic changes in gene expression as measured by microarray. Here we analyze RNA-sequencing data from the \\x89\\xf6\\xa0NLS-hTDP-43 mouse model together with published RNA-sequencing data obtained previously from TDP-43 antisense oligonucleotide (ASO) knockdown mice and High Throughput Sequencing of RNA isolated by CrossLinking ImmunoPrecipitation (HITS-CLIP) data of TDP-43\\x89\\xdb\\xaas RNA binding targets to further investigate the dysregulation of gene expression in the \\x89\\xf6\\xa0NLS model. This analysis reveals that the transcriptomic effects of the overexpression of the \\xeb\\xd3NLS-hTDP-43 transgene are likely due to a gain of cytoplasmic function. Moreover cytoplasmic TDP-43 expression alters transcripts that regulate chromatin assembly the nucleolus lysosomal function and histone 3\\x89\\xdb\\xaa untranslated region (UTR) processing. These transcriptomic alterations correlate with observed histologic abnormalities in heterochromatin structure and nuclear size in transgenic mouse and human brains.																																																																																										",NULL,NULL,NULL,NULL,NULL
2186,"GSE71281","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71281","An IL-23R/IL-22 circuit regulates epithelial serum amyloid A to promote local effector Th17 responses II [RNA-Seq]","Mus musculus","10/9/15","4","RNA-Seq","  Purpose: The goals of this study are to compare in vitro polarized T helper 17 cell transcriptome profiling (RNA-seq) in the presence or absence of recombinant murine SAA1 Methods: Th17 mRNA profiles of 96hrs in vitro cultured T helper 17 cells treated with vehicle or recombinant murine SAA1 were generated by deep sequencing using Illumina RapidRun. The sequence reads that passed quality filters were analyzed at the transcript isoform level with two methods: Burrows\\x89\\xdb\\xd2Wheeler Aligner (BWA) and TopHat followed by CuffDiff. qRT\\x89\\xdb\\xd2PCR validation was performed using SYBR Green assays. Results: 177 genes were changed more than 2 folds in the presence of recombinant murine SAA1. Conclusions: Our study suggest that SAA1 could augment subset of Th17 transcription program in vitro.																																																																																																						",NULL,NULL,NULL,NULL,NULL
2227,"GSE62795","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE62795","Monocytic myeloid-derived suppressor cells accumulate in the lungs of influenza A virus-infected mice","Mus musculus","10/1/15","9","RNA-Seq","  Influenza\\xe5\\xcaA\\xe5\\xcavirus (IAV) infection causes an acute respiratory disease characterized by a strong inflammatory immune response and severe immunopathology. Pro-inflammatory mechanisms are well described in the murine IAV infection model but less is known about the mechanisms leading to the resolution of inflammation. Here we analyzed the contribution of monocytic myeloid-derived suppressor cells (mono-MDSC) to this process. An accumulation of mono-MDSC within the lungs was observed during the course of IAV infection and phenotypic characterization of these mono-MDSC by flow cytometry and RNA-Seq revealed an activated phenotype showing both pro- and anti-inflammatory features including the expression of iNOS by a fraction of cells in an IFN-g-dependent manner. Mono-MDSC isolated from lungs of IAV-infected animals displayed suppressive activity when tested in\\xe5\\xcavitro and iNOS inhibitors could abrogate this suppressive activity. Collectively our data suggest that during IAV infection monocytes can differentiate into mono-MDSC which might contribute to the prevention of immunopathology during this life-threatening disease.																																																																																																	",NULL,NULL,NULL,NULL,NULL
2255,"GSE73216","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73216","Dose-dependent role of the cohesin complex in normal and malignant hematopoiesis [RNA-Seq]","Mus musculus","10/1/15","8","RNA-Seq","  Cohesin complex members have recently been identified as putative tumor suppressors in hematologic and epithelial malignancies. The cohesin complex guides chromosome segregation however cohesin-mutant leukemias do not show genomic instability. We hypothesized reduced cohesin function alters chromatin structure and disrupts cis-regulatory architecture of hematopoietic progenitors. We investigated the consequences of Smc3 deletion in normal and malignant hematopoiesis. Bi-allelic Smc3 loss induced bone marrow aplasia with premature sister chromatid separation and revealed an absolute requirement for cohesin in hematopoietic stem cell function. In contrast Smc3 haploinsufficiency increased self-renewal in vitro and in vivo including competitive transplantation. Smc3 haploinsufficiency reduced coordinated transcriptional output including reduced expression of transcription factors and other genes associated with lineage commitment. Smc3 haploinsufficiency cooperated with Flt3-ITD to induce acute leukemia in vivo with potentiated Stat5 signaling and altered nucleolar topology. These data establish a dose-dependency for cohesin in regulating chromatin structure and hematopoietic stem cell function.																																																																																																		",NULL,NULL,NULL,NULL,NULL
2269,"GSE62398","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE62398","mRNA sequencing of Trim71 conditional (WT) and Trim71 KO mES cells","Mus musculus","10/1/15","8","RNA-Seq","  We report that Trim71 mutation does not lead to significant changes within the core regulatory network of mES cells however there is an upregulation of specific genes involved in neural differentiation. We thus conclude that Trim71 KO mES cells are poised for differentiation.																																																																																																					",NULL,NULL,NULL,NULL,NULL
2282,"GSE66575","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE66575","Molecular characterization of diabetic heart of akita (RNA-Seq)","Mus musculus","9/30/15","6","RNA-Seq","  To understand the molecular profile of diabetic heart in animal model of type 1 diabeties Akita we performed RNA sequencing of heart tissue (male) at the 12 week to understand systemic changes.																																																																																																						",NULL,NULL,NULL,NULL,NULL
2353,"GSE70031","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70031","Next Generation RNA-Sequencing data of Hematopoietic stem cells and CML stem cells","Mus musculus","9/18/15","8","RNA-Seq","  To investigate why dipeptides accumulate in immature CML cells we examined upstream gene expression patterns. We isolated the most primitive long-term stem cells short-term stem cells and KLS- progenitor cells from healthy littermate control and CML-affected mice and performed gene expression profiling using next-generation RNA-sequencing.																																																																																																				",NULL,NULL,NULL,NULL,NULL
2409,"GSE58619","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE58619","Genome-wide transcriptome analyses by the RNA-seq method","Mus musculus","9/10/15","4","RNA-Seq","  We performed the whole transcriptome analysis in Zscan4 positive ES cells (Em+) and Zscan4 negative ES cells (Em-) by using FACS-sorted MC1-ZE7 ES cells.																																																																																																							",NULL,NULL,NULL,NULL,NULL
2422,"GSE68911","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE68911","RNA-seq of postnatal day 0 (P0) wild-type and Satb2-/- cortices","Mus musculus","9/8/15","6","RNA-Seq","  The goal of the study was to compare gene expression of P0 wild-type and P0 Satb2-/- cortices. Total RNAs were isolated from P0 cortices dissected from wild-type and Satb2-/- mice (n=3 for each genotype) following Qiagen RNAeasy kit instruction.Sequence libraries were made following Illumina RNA TruSeq library preparation guide.The libaries were pair-end sequenced (50nt per end). Differentially expressed genes were identified by DESEQ.																																																																																																						",NULL,NULL,NULL,NULL,NULL
2468,"GSE68846","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE68846","RNA sequencing of ILK-deficient hair follicle bulge stem cells","Mus musculus","9/1/15","6","RNA-Seq","  We sequenced mRNA from FACS purified hair follicle bulge stem cells from 21 d old control and ILK-deficient mice 3 biological replicates each																																																																																																						",NULL,NULL,NULL,NULL,NULL
2521,"GSE72402","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE72402","Profiling status epilepticus-induced changes in hippocampal RNA expression using high-throughput RNA sequencing","Mus musculus","8/27/15","8","RNA-Seq","  Status epilepticus (SE) is a life-threatening condition that can give rise to a number of neurological\\xe5\\xcadisorders including learning deficits depression and epilepsy. Many of the effects of SE appear to be mediated by alterations in gene expression. To gain deeper insight into how SE affects the transcriptome we employed the pilocarpine SE model in mice and Illumina-based high-throughput sequencing to characterize alterations in gene expression from the induction of SE to the development of spontaneous seizure activity. While some genes were upregulated over the entire course of the pathological progression each of the three sequenced time points (12-hour 10-days and 6-weeks post-SE) had a largely unique transcriptional profile. Hence genes that regulate synaptic physiology and transcription were most prominently altered at 12-hours post-SE; at 10-days post-SE marked changes in metabolic and homeostatic gene expression were detected; at 6-weeks substantial changes in the expression of cell excitability and morphogenesis genes were detected.\\xe5\\xca At the level of cell signaling KEGG analysis revealed dynamic changes within the MAPK pathways as well as in CREB-associated gene expression. Notably the inducible expression of several noncoding transcripts was also detected. These findings offer potential new insights into the cellular events that shape SE-evoked pathology.\\xe5\\xca																																																																																										",NULL,NULL,NULL,NULL,NULL
2542,"GSE70711","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70711","Regulation of bifurcating B cell trajectories by mutual antagonism between IRF4 and IRF8 (RNA-Seq)","Mus musculus","8/25/15","8","RNA-Seq","  Upon antigen recognition B cells undertake a bifurcated response in which some cells rapidly differentiate into plasmablasts while others undergo affinity maturation in germinal centers (GC). We uncover a double negative feedback loop between interferon regulatory factors IRF4 and IRF8 which regulates the initial bifurcation of activated B cells as well as the GC response. IRF8 dampens BCR signaling facilitates antigen specific interaction with helper T cells and promotes selection of high affinity clones while antagonizing IRF4 driven plasmablast differentiation. Genomic analysis reveals concentration dependent action of IRF4 and IRF8 in regulating distinctive gene expression programs. Stochastic modeling suggests that the double negative feedback is sufficient to initiate bifurcating B cell developmental trajectories.																																																																																																				",NULL,NULL,NULL,NULL,NULL
2571,"GSE72178","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE72178","RNA-Seq of Ctcfl transgenic mouse ES cells","Mus musculus","8/19/15","8","RNA-Seq","  Ctcfl a paralog of Ctcf also known as BORIS (Brother of Regulator of Imprinted Sites) is a testis expressed gene whose function is largely unknown. As a cancer testis antigen it is often expressed in tumor cells and also seen in two benign human vascular malformations juvenile angiofibromas (JA) and infantile hemangiomas (IH). To better understand the function of Ctcfl we created tetracycline-inducible Ctcfl transgenic mice. We show that when Ctcfl expression is induced during embryogenesis it results in intrauterine growth retardation developmental eye malformations multi-organ pathologies vascular defects and early neonatal lethality. This phenotype resembles prior mouse models which perturb the TGFB pathway. Embryonic stem cells with the Ctcfl transgene reproduce the same phenotype in ES cell: tetraploid chimeras. RNA-Seq of the Ctcfl ES cells revealed 14 genes including a number of transcription factors/ co-activators and signal transduction pathway genes that are significantly deregulated by Ctcfl expression. Bioinformatics analysis revealed the TGFB pathway to be most affected by embryonic Ctcfl expression. We propose that our transgenic mice reiterate a developmental program normally reserved for spermatogenesis that results in multiple organ pathology when expressed in embryogenesis as a result of the TGFB pathway dysregulation. Understanding of the phenotypic consequence of Ctcfl expression in non-testicular cells and elucidating downstream targets of Ctcfl has the potential to explain its role as a cancer testis antigen (CTA) and its involvement in two if not more human vascular malformations.																																																																																									",NULL,NULL,NULL,NULL,NULL
2576,"GSE63943","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE63943","mRNA-Seq of the CA1 hippocampal subregion and liver from 3 month and 20 month old animals treated orally with vehicle or SAHA and mRNA-Seq of CA1 of 10 month old WT or APP/PS1-21 transgenic animals treated orally with vehicle or SAHA","Mus musculus","8/17/15","69","RNA-Seq","  Aging and increased amyloid burden are major risk factors for cognitive diseases such as Alzheimers Disease (AD). An effective therapy does not yet exist. Here we use mouse models for age-associated memory impairment and amyloid deposition to study transcriptome and cell type-specific epigenome plasticity at the systems level in the brain and in peripheral organs. We show that at the level of epigenetic gene-expression aging and amyloid pathology are associated with inflammation and impaired synaptic function in the hippocampal CA1 region. While inflammation is associated with increased gene-expression that is linked to a subset of transcription factors de-regulation of plasticity genes is mediated via different mechanisms in the amyloid and the aging model. Amyloid pathology impairs histone-acetylation and decreases expression of plasticity genes while aging affects differential splicing that is linked to altered H4K12 acetylation at the intron-exon junction in neurons but not in non-neuronal cells. We furthermore show that oral administration of the clinically approved histone deacetylase inhibitor Vorinostat not only restores spatial memory but also exhibits an anti-inflammatory action and reinstates epigenetic balance and transcriptional homeostasis at the level of gene expression and exon usage. This is the first systems-level investigation of transcriptome plasticity in the hippocampal CA1 region in aging and AD models and of the effects of an orally dosed histone deacetylase inhibitor. Our data has important implications for the development of minimally invasive and cost-effective therapeutic strategies against age-associated cognitive decline. In fact our data strongly suggest to test Vorinostat in patients suffering from AD.)																																																																																																				",NULL,NULL,NULL,NULL,NULL
2704,"GSE54795","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54795","RNA-SEQ profiling of dopaminergic neurons from the mid-brain of mice that received intraperitoneal injections of MPTP","Mus musculus","7/27/15","8","RNA-Seq","  RNA-SEQ of dopaminergic neurons from the mid-brain of mice that received one daily intraperitoneal injection of MPTP-HCl (30 mg/kg free base per day) or saline for five consecutive days. Samples were taken 4 days.																																																																																																							",NULL,NULL,NULL,NULL,NULL
2705,"GSE70133","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70133","RNA-SEQ of Satb1-knockdown in dopaminergic neurons from the mouse mid-brain","Mus musculus","7/27/15","6","RNA-Seq","  RNA-SEQ profiling of mouse dopaminergic neurons from the mouse mid-brain with AAV1 injections using a Satb1 shRNA-EGFP construct or a scrambed shRNA-EGFP construct																																																																																																						",NULL,NULL,NULL,NULL,NULL
2707,"GSE71304","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71304","Regulatory T cells from colonic lamina propria [RNA-Seq]","Mus musculus","7/25/15","6","RNA-Seq","  The colonic lamina propria contains a distinct population of Foxp3+ T regulatory cells (Tregs) that modulate responses to commensal microbes. Analysis of gene expression revealed that the transcriptome of colonic Tregs is distinct from splenic and other tissue Tregs. Ror\\xeb_ and Helios in colonic Tregs mark distinct populations: Ror\\xeb_+Helios- or Ror\\xeb_-Helios+ Tregs. We uncovered an unanticipated role for Ror\\xeb_ a transcription factor generally considered to be antagonistic to Foxp3. Ror\\xeb_ in colonic Tregs accounts for a small but specific part of the colon-specific Treg signature.																																																																																																						",NULL,NULL,NULL,NULL,NULL
2716,"GSE58917","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE58917","RNA Sequencing Quantitative Analysis and identification of RNA editing sites of Wild Type and ADAR1 editing deficient (ADAR1E861A) murine fetal liver RNA","Mus musculus","7/23/15","6","RNA-Seq","  Purpose: RNA editing by ADAR1 is essential for hematopoietic development. The goals of this study were firstly to identify ADAR1-specific RNA-editing sites by indentifying A-to-I (G) mismatches in RNA-seq data compared to mm9 reference genome in wild type mice that were not edited or reduced in editing frequency in ADAR1E861A editing deficient mice. Secondly to determine the transcriptional consequence of an absence of ADAR1-mediated A-to-I editing. Methods: Fetal liver mRNA profiles of embryonic day 12.5 wild-type (WT) and ADAR1 editing-deficient (ADAR1E861A) mice were generated by RNA sequencing in triplicate (biological replicates) using Illumina HiSeq2000. The sequence reads that passed quality filters were analyzed at the transcript level with TopHat followed by Cufflinks. qRT\\x89\\xdb\\xd2PCR validation was performed using SYBR Green assays. A-to-I (G) RNA editing sites were identified as previously described by Ramaswami G. et al. Nature Methods 2012 using Burrows\\x89\\xdb\\xd2Wheeler Aligner (BWA) followed by ANOVA (ANOVA). RNA editing sites were confirmed by Sanger sequencing. Results: Using an optimized data analysis workflow we mapped about 30 million sequence reads per sample to the mouse genome (build mm9) and identified 14	484 transcripts in the fetal livers of WT and ADAR1E861A mice with BWA. RNA-seq data had a goodness of fit (R2) of &gt;0.94 between biological triplicates per genotype. Approximately 4.4% of the transcripts showed differential expression between the WT and ADAR1E861A fetal liver with a LogFC\\x89\\xe4\\xb41.5 and p value &lt;0.05. A profound upregulation of interferon stimulated genes were found to be massively upregulated (up to 11 logFC) in ADAR1E861A fetal liver compared to WT. 6	012 A-to-I RNA editing sites were identified when assessing mismatches in RNA-seq data of WT and ADAR1E861A fetal liver. Conclusions: Our study represents the first detailed analysis of fetal liver transcriptomes and A-to-I RNA editing sites with biologic replicates generated by RNA-seq technology. A-to-I RNA editing is the essential function of ADAR1 and is required to suppress interferon signaling to endogenous RNA.																																																																																											",NULL,NULL,NULL,NULL,NULL
2775,"GSE70849","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70849","The DAXX/ATRX Complex Protects Tandem Repetitive Elements in the Absence of DNA Methylation by Promoting H3K9 Trimethylation [RNA-Seq]","Mus musculus","7/15/15","8","RNA-Seq","  In mammals DNA methylation is essential for protecting repetitive sequences from aberrant transcription translocation and homologous recombination. However DNA hypomethylation occurs during specific developmental stages (e.g. preimplantation embryos) and in certain cell types (e.g. primordial germ cells). The absence of dysregulated repetitive elements in these cells suggests the existence of alternative mechanisms that prevent genome instability triggered by DNA hypomethylation. In this report we seek to elucidate the factors that play a critical role in ensuring genome stability by focusing on DAXX and ATRX two proteins that have been linked to transcriptional control and epigenetic regulation. We carried out ChIP-seq and RNA-seq analyses to compare the genome-wide binding and transcriptome profiles of DAXX and ATRX in mouse ES (mES) cells triple knocked out for the three mammalian DNA methyltransferases (DNMTs) (TKO cells) to those in wildtype mES cells. Our data indicate that DAXX and ATRX are distinct in their chromatin-binding profiles and highly co-enriched at tandem repetitive elements. Global DNA hypomethylation as was the case in TKO cells further promoted the recruitment of the DAXX/ATRX complex to tandem repeat sequences including IAP (intracisternal A\\x89\\xdb\\x90particle) retrotransposons and telomeres. Inhibition of DAXX or ATRX in cells with hypomethylated genomes (e.g. TKO cells mES cells cultured in ground-state conditions and preimplantation embryos) increased aberrant transcriptional de-repression of repeat elements and dysfunction at telomeres. Furthermore we provide evidence that DAXX/ATRX-dependent silencing may occur through DAXX\\x89\\xdb\\xaas interaction with SUV39H1 and increased H3K9me3 on repetitive sequences. Our study suggests that DAXX and ATRX are important for safeguarding the genome particularly in silencing repetitive elements in the absence of DNA methylation.																																																																																									",NULL,NULL,NULL,NULL,NULL
2852,"GSE64459","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE64459","Genetic Variation Determines PPAR\\xeb_ Function and Antidiabetic Drug Response In Vivo [RNA-seq]","Mus musculus","7/2/15","49","RNA-Seq","  SNPs affecting disease risk often reside in non-coding genomic regions. Here we show that SNPs are highly enriched at mouse strain-selective adipose tissue binding sites for PPAR\\xeb_ a nuclear receptor for antidiabetic drugs. Many such SNPs alter binding motifs for PPAR\\xeb_ or cooperating factors and functionally regulate nearby genes whose expression is strain-selective and imbalanced in heterozygous F1 mice. Moreover genetically-determined binding of PPAR\\xeb_ accounts for mouse strain-specific transcriptional effects of TZD drugs providing proof-of- concept for personalized medicine related to nuclear receptor genomic occupancy. In human fat motif-altering SNPs cause differential PPAR\\xeb_ binding provide a molecular mechanism for some expression quantitative trait loci and are risk factors for dysmetabolic traits in genome- wide association studies. One PPAR\\xeb_ motif-altering SNP is associated with HDL levels and other metabolic syndrome parameters. Thus natural genetic variation in PPAR\\xeb_ genomic occupancy determines individual disease risk and drug response.																																																																																															",NULL,NULL,NULL,NULL,NULL
2874,"GSE58645","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE58645","RNA sequencing of mouse littermate wild-type and Shh null E10.5 forelimbs [Illumina]","Mus musculus","7/1/15","4","RNA-Seq","  We wanted to identify differentially expressed genes in wild-type and Shh null E10.5 mouse forelimbs																																																																																																							",NULL,NULL,NULL,NULL,NULL
2875,"GSE58664","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE58664","RNA sequencing of cultured mouse wild-type E10.25 forelimbs in control or cyclopmaine containing media [SOLiD]","Mus musculus","7/1/15","4","RNA-Seq","  We wanted to identify differentially expressed genes in wild-type forelimbs and forelimbs briefly exposed to Shh signaling. E10.25 forelimbs were cultured in control media and media containing cyclopmaine (inhibits the Hedgehog pathway)																																																																																																							",NULL,NULL,NULL,NULL,NULL
2891,"GSE65337","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65337","RNA-sequencing of Postnatal Day 10 Wild-type and Nfix KO Subventricular Zone-derived Primary Monolayer-cultured Neural Stem Cells","Mus musculus","6/30/15","6","RNA-Seq","  Purpose: To study the mechanisms involved in the regulation by NFIX on neural stem cell development and to examine the transcriptome changes associated with the loss of NFIX in neural stem cells. Methods: Subventricular zones of 10-day-old wild-type and Nfix KO mice were sectioned and dissociated into single cells. Cells were cultured in proliferation condition for 10 days. RNA was purified and poly-A selected to build the library for RNA-seq. Conclusions: Our study represents the first detailed analysis of transcriptome changes in primary monolayer-cultured neural stem cells associated with the loss of NFIX.																																																																																																							",NULL,NULL,NULL,NULL,NULL
2929,"GSE69807","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE69807","Critical role of histone turnover in neuronal transcription and plasticity [RNA-seq]","Mus musculus","6/23/15","53","RNA-Seq","  Turnover and exchange of nucleosomal histones and their variants a process long believed to be static in post-replicative cells remains largely unexplored in brain. Here we describe a novel mechanistic role for HIRA (histone cell cycle regulator) and proteasomal degradation associated histone dynamics in the regulation of activity-dependent transcription synaptic connectivity and behavior. We uncover a dramatic developmental profile of nucleosome occupancy across the lifespan of both rodents and humans with the histone variant H3.3 accumulating to near saturating levels throughout the neuronal genome by mid-adolescence. Despite such accumulation H3.3 containing nucleosomes remain highly dynamic\\x89\\xdb\\xd2in a modification independent manner\\x89\\xdb\\xd2to control neuronal- and glial- specific gene expression patterns throughout life. Manipulating H3.3 dynamics in both embryonic and adult neurons confirmed its essential role in neuronal plasticity and cognition. Our findings establish histone turnover as a critical and previously undocumented regulator of cell-type specific transcription and plasticity in mammalian brain.																																																																																															",NULL,NULL,NULL,NULL,NULL
2933,"GSE57575","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57575","Engineering of a histone-recognition domain in Dnmt3a alters the epigenetic landscape of ESCs revealing changes in lineage specification and chromosomal stability (RNA-Seq)","Mus musculus","6/22/15","8","RNA-Seq","  Histone modifications and DNA methylation represent two distinct modes of varying epigenetic landscapes but whose exact interrelationship remains unclear. Previous studies have shown that histone H3 lysine 4 trimethylation (H3K4me3) inhibits the binding of de novo DNA methyltransferases (Dnmt) through the ATRX-DNMT3-DNMTL (ADD) domain thus protecting H3K4me3 marked CpG islands (CGI) from DNA methylation. In addition to H3K4me3 we identified antagonistic relationship between H3T3 phosphorylation and the binding of the ADD domain to the unmodified H3 N-terminus. To assess the physiological relevance of these restrictions we engineered the wild-type ADD domain of Dnmt3a (WT) to permit additional binding to either H3K4me3 (WWD) or H3T3ph (R) and stably introduced FLAG-tagged full-length normal or mutant Dnmt3a2 into ESCs lacking all Dnmts (TKO; triple knock-out of Dnmt1 Dnmt3a and Dnmt3b) using the PiggyBac transposon system. For each WT- WWD- and R-Dnmt3a2 we generated bulk and clonally-derived ESC lines. We then employed chromatin immunoprecipitation followed by high-throughput DNA sequencing (ChIP-seq) to identify the genomic distribution of full-length WT- WWD- R-Dnmt3a2 and the H3K4me3 distribution. In parallel we quantitatively measured genome-wide CpG (cytosine) methylation at base-pair resolution using an enhanced form of reduced representation bisulfite sequencing (RRBS) and performed RNA-seq to assess transcription in matched ESC lines.																																																																																								",NULL,NULL,NULL,NULL,NULL
