id,"accession","source_link","study_title","organism","date_last_update","number_of_samples","study_category"
2054,"GSE66008","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE66008","Response of liver-expressed lincRNAs to continuous growth hormone (GH) infusion","Mus musculus","2015-10-21","12","rna_seq"
2055,"GSE66007","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE66007","Gene expression profile of hepatic lincRNAs in female mouse liver using nuclear RNA-Seq","Mus musculus","2015-10-21","3","rna_seq"
2056,"GSE66003","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE66003","Gene expression profile of intact and hypophysectomized adult male and female mouse liver","Mus musculus","2015-10-21","8",""
2057,"GSE66001","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE66001","Gene expression profile of adult male mouse liver using total liver RNA-seq and nuclear liver RNA-Seq","Mus musculus","2015-10-21","4","rna_seq"
2058,"GSE66000","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE66000","Identification of sex-specific hepatic lincRNAs using nuclear RNA-Seq","Mus musculus","2015-10-21","2","rna_seq"
2059,"GSE74070","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74070","Learning the Sequence Determinants of Alternative Splicing from Millions of Random Sequences","Mus musculus","2015-10-21","4","rna_seq"
2060,"GSE69239","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE69239","Long non-coding RNA profiling of human lymphoid progenitors reveals transcriptional divergence of B cell and T cell lineages","Mus musculus","2015-10-20","20","rna_seq"
2061,"GSE74201","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74201","Genomic Analysis Reveals Disruption of Striatal Neuronal Development and Therapeutic Targets in a Human Neural Stem Cell Model of Huntingtonês Disease","Homo sapiens; synthe","2015-10-20","32",""
2062,"GSE71557","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71557","Epigenome Editing by CRISPR/Cas9 Repressors for Silencing of Distal Regulatory Elements","Homo sapiens","2015-10-19","18",""
2063,"GSE70671","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70671","Epigenome Editing by CRISPR/Cas9 Repressors for Silencing of Distal Regulatory Elements","Homo sapiens","2015-10-19","30",""
2064,"GSE60005","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60005","Genome-wide maps of chromatin state in HSC, Pro B and mature B cells","Homo sapiens","2015-10-19","38",""
2065,"GSE70957","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70957","Molecular function of Lhx1 in early mouse development (ChIP-Seq)","Homo sapiens","2015-10-19","6",""
2066,"GSE65664","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65664","Genetic predisposition to neuroblastoma mediated by a single nucleotide polymorphism within a LMO1 oncogene super-enhancer element","Mus musculus","2015-10-18","14",""
2067,"GSE72997","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE72997","ChIP-Seq analysis of Helios and histone modifications in CD4+ and CD8+ Tregs","Mus musculus","2015-10-16","9",""
2068,"GSE74069","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74069","ChIP-seq of the androgen receptor (AR) in MDAMB453 cells after androgen stimulation","Homo sapiens","2015-10-16","7",""
2069,"GSE74049","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74049","Transcriptome Analysis Identifies Linc-Yy1, A Novel Functional LincRNA During Myogenesis","Mus musculus","2015-10-16","13","rna_seq"
2070,"GSE63796","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE63796","Single cell expression profiles of the earliest cardiac precursor cells","Homo sapiens","2015-10-16","12",""
2071,"GSE62559","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE62559","B cell survival and development is dependent on the coordination of NFkappaB family members RelB and cRel","Mus musculus","2015-10-16","14",""
2072,"GSE65145","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65145","Rapamycin induces chromosome reorganization and increases cytokine production in normal human fibroblasts","Mus musculus","2015-10-15","6",""
2073,"GSE66556","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE66556","Mitochondrial phosphoenolpyruvate carboxykinase (PCK2) regulates metabolic adaptation and glucose-independent tumor cell growth","Mus musculus","2015-10-15","6",""
2074,"GSE65973","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65973","RNA sequencing of mice expressing NLS-hTDP-43","Homo sapiens","2015-10-15","8","rna_seq"
2075,"GSE66567","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE66567","Yap dependent reprogramming of Lgr5+ stem cells drives intestinal regeneration and cancer","Homo sapiens","2015-10-15","4",""
2076,"GSE63799","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE63799","High-throughput small RNA sequencing of human primary macrophages stimulated with staurosporine","Mus musculus","2015-10-15","9","rna_seq"
2077,"GSE63801","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE63801","High-throughput small RNA sequencing of mouse primary macrophages treated with M-CSF withdrawal","Mus musculus","2015-10-15","8","rna_seq"
2078,"GSE68247","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE68247","Massively parallel cis-regulatory analysis in the mammalian central nervous system","Homo sapiens","2015-10-15","4",""
2079,"GSE62271","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE62271","PRDM5 regulates collagen gene transcription by association with RNA polymerase II in developing bone","Mus musculus","2015-10-15","6","rna_seq"
2080,"GSE71982","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71982","Single-cell RNA-Seq resolves cellular complexity in sensory organs from the neonatal inner ear","Mus musculus; Synthe","2015-10-15","321","rna_seq"
2081,"GSE73984","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73984","SOX9 Regulates Multiple Genes in Chondrocytes, Including Genes Encoding ECM Proteins, ECM Modification Enzymes, Receptors, and Transporters","Mus musculus","2015-10-15","2",""
2082,"GSE74029","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74029","Quadruplex ligand Tetra-Pt(bpy) Induces the Death of Human ALT Cancer Cells by Inhibiting Homologue Recombination-Mediated Telomere Elongation","Mus musculus","2015-10-15","6",""
2083,"GSE73183","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73183","Promoter-distal RNA polymerase II binding discriminates active from inactive CCAAT/enhancer-binding protein beta binding sites","Mus musculus","2015-10-14","8","rna_seq"
2084,"GSE68347","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE68347","Chromatin environment shapes replication origin organization and defines origin classes","Homo sapiens","2015-10-14","5",""
2085,"GSE63470","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE63470","Human ovarian granulosa cell methylome","Homo sapiens","2015-10-14","8",""
2086,"GSE67305","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE67305","Ribosome profiling reveals the rhythmic liver translatome and circadian clock regulation by upstream open reading frames","Mus musculus","2015-10-14","48",""
2087,"GSE64371","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE64371","Global gene expression analysis of fresh-frozen, furan-exposed mouse liver using RNA-seq [polyA enrichment]","Homo sapiens","2015-10-14","24","rna_seq"
2088,"GSE64370","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE64370","Global gene expression analysis of fresh-frozen, furan-exposed mouse liver using RNA-seq [ribo-depletion]","Mus musculus","2015-10-14","24","rna_seq"
2089,"GSE62093","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE62093","Human ovarian granulosa cell transcriptome","Mus musculus","2015-10-14","12",""
2090,"GSE66230","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE66230","Subcellular whole transcriptome profiling reveals the RNA composition of motor axons","Mus musculus","2015-10-13","43","rna_seq"
2091,"GSE66629","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE66629","Hira is essential for normal transcriptional regulation and efficient de novo DNA methylation during mouse oogenesis","Homo sapiens","2015-10-12","28",""
2092,"GSE70253","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70253","Single-cell chromatin profiles reveal a spectrum of stem cell epigenetic states","Homo sapiens; Mus mu","2015-10-12","123",""
2093,"GSE73909","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73909","Chronic cardiac contractile dysfunction without hypertrophy does not provoke a compensatory transcriptional response","Mus musculus","2015-10-12","18",""
2094,"GSE68180","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE68180","Unbiased evaluation of cell-free amniotic fluid transcriptome of term and preterm infants to detect fetal maturity","Mus musculus","2015-10-12","16",""
2095,"GSE70078","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70078","Androgen receptor programming in human tissue implicates HOXB13 in prostate pathogenesis [RNA-Seq]","Mus musculus","2015-10-12","8","rna_seq"
2096,"GSE72293","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE72293","Gene expression in the developing murine utricle","Homo sapiens","2015-10-12","9",""
2097,"GSE64559","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE64559","RNA expression in P1 sciatic nerves","Homo sapiens","2015-10-12","12","rna_seq"
2098,"GSE64561","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE64561","Small RNA expression in wild-type sciatic nerves during myelination","Mus musculus","2015-10-12","15","rna_seq "
2099,"GSE56288","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE56288","Androgen receptor programming in human tissue implicates HOXB13 in prostate pathogenesis [ChIP-Seq]","Mus musculus","2015-10-12","29",""
2100,"GSE70767","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70767","Deregulation of HIF-Responsive Demethylases Causes Synthetic Lethality Between the VHL Tumor Suppressor Gene and the EZH1 Histone Methyltransferase","Rattus norvegicus; M","2015-10-10","3",""
2101,"GSE66286","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE66286","Chromatin Response to UV Damage","Homo sapiens","2015-10-10","15",""
2102,"GSE71191","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71191","mRNA-Seq reads aligned to HTT in hg38/GENCODEv21","Homo sapiens","2015-10-10","3","rna_seq "
2103,"GSE73820","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73820","Spatial interplay between Polycomb and Trithorax complexes controls transcriptional activity in T lymphocytes [ChIP-Seq]","Mus musculus","2015-10-10","46",""
2104,"GSE73813","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73813","Spatial interplay between Polycomb and Trithorax complexes controls transcriptional activity in T lymphocytes [RNA-Seq]","Homo sapiens","2015-10-10","10","rna_seq"
2105,"GSE67718","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE67718","Characterization of chemokine and chemokine receptor expression during Pneumocystis infection in healthy and immunodeficient mice (part 3)","Mus musculus","2015-10-10","5",""
2106,"GSE67717","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE67717","Characterization of chemokine and chemokine receptor expression during Pneumocystis infection in healthy and immunodeficient mice (part 4)","Mus musculus","2015-10-10","8",""
2107,"GSE67716","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE67716","Characterization of chemokine and chemokine receptor expression during Pneumocystis infection in healthy and immunodeficient mice (part 1)","Mus musculus","2015-10-10","8",""
2108,"GSE67720","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE67720","Characterization of chemokine and chemokine receptor expression during Pneumocystis infection in healthy and immunodeficient mice (part 2)","Mus musculus","2015-10-10","12",""
2109,"GSE70598","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70598","An IL-23R/IL-22 circuit regulates epithelial serum amyloid A to promote local effector Th17 responses [RIP-Seq]","Mus musculus","2015-10-09","2",""
2110,"GSE70596","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70596","An IL-23R/IL-22 circuit regulates epithelial serum amyloid A to promote local effector Th17 responses [RNA-Seq]","Mus musculus","2015-10-09","2","rna_seq"
2111,"GSE72622","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE72622","KAP1 Recruitment of the 7SK snRNP to Promoters Enables Transcription Elongation by RNA Polymerase II","Mus musculus","2015-10-09","10","rna_seq"
2112,"GSE73855","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73855","Loss of BAF (mSWI/SNF) complexes causes global transcriptional and chromatin state changes in forebrain development","Mus musculus","2015-10-09","18",""
2113,"GSE70101","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70101","Mini-kidneys from human pluripotent cells model normal human fetal kidney development and response to nephrotoxicity","Homo sapiens","2015-10-09","12",""
2114,"GSE71281","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71281","An IL-23R/IL-22 circuit regulates epithelial serum amyloid A to promote local effector Th17 responses II [RNA-Seq]","Mus musculus","2015-10-09","4","rna_seq"
2115,"GSE68402","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE68402","Mapping of histone modifications in episomal HBV cccDNA uncovers an unusual chromatin conformation amenable to epigenetic manipulation","Homo sapiens","2015-10-08","26",""
2116,"GSE67900","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE67900","In vivo oncomiR screen identifies miR-21* independent of miR-21 as a driver in skin cancer","Mus musculus","2015-10-08","17",""
2117,"GSE63440","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE63440","Autophagy mediates degradation of nuclear lamina","Homo sapiens","2015-10-08","6",""
2118,"GSE73824","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73824","Next Generation Sequencing Facilitates Quantitative Analysis of oocyte, sperm, 2PN embryos derived from WT, Dicer cKO and Drosha cKO small non-coding RNAs","Mus musculus","2015-10-08","11","rna_seq"
2119,"GSE67681","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE67681","HDAC inhibition impedes epithelial_mesenchymal plasticity and suppresses metastatic, castration-resistant prostate cancer","Homo sapiens","2015-10-07","6",""
2120,"GSE72915","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE72915","Chromatin-remodelling complex NURF is essential for differentiation of adult melanocyte stem cells","Mus musculus","2015-10-07","5",""
2121,"GSE73803","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73803","Effect of LSD1 depletion on gene expression in oocytes","Mus musculus","2015-10-07","6",""
2122,"GSE73788","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73788","Epigenetic regulation of monocyte heterogeneity","Homo sapiens","2015-10-07","5",""
2123,"GSE73787","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73787","Disruption of Ah Receptor Signaling during Mouse Development Leads to Abnormal Cardiac Structure and Function in the Adult","Mus musculus","2015-10-07","72",""
2124,"GSE62300","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE62300","Genome-wide profiling of the DNA methylation landscape at base-pair resolution in human acute myeloid leukemia cell lines.","Homo sapiens","2015-10-07","2",""
2125,"GSE72064","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE72064","Genome-wide profilings of transcriptome and translatome in mouse hippocampi after contextual fear conditioning","Mus musculus","2015-10-07","34",""
2126,"GSE73114","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73114","RNA-sequencing analysis of human fibrolamellar hepatocellular carcinoma and 4 maturational stages of the human hepatobiliary system","Homo sapiens","2015-10-06","16","rna_seq"
2127,"GSE72759","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE72759","Defining the consequences of genetic variation on a proteome-wide scale","Mus musculus","2015-10-06","384",""
2128,"GSE62125","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE62125","Genome-wide changes in transcript levels in tongues after 4-NQO and ethanol treatment","Homo sapiens","2015-10-06","12",""
2129,"GSE71162","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71162","A mechanism for expansion of the regulatory T cell repertoire and its role in enforcing self-tolerance","Mus musculus","2015-10-05","63",""
2130,"GSE61360","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE61360","Bap1 loss results in EZH2 dependent transformation","Mus musculus","2015-10-05","11",""
2131,"GSE60434","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60434","Hypoxia-induced TET-TNFa-p38-MAPK signaling axis drives tumor malignancy of human breast cancer","Mus musculus","2015-10-05","2",""
2132,"GSE63080","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE63080","JunB ChIP of human keratinocytes [ChIP-seq]","Mus musculus","2015-10-05","2",""
2133,"GSE63079","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE63079","JunB control of keratinocyte-mediated inflammation [RNA-seq]","Homo sapiens","2015-10-05","6","rna_seq "
2134,"GSE73725","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73725","ChIP-seq for Nanog in H9 hESC","Homo sapiens","2015-10-05","2",""
2135,"GSE61577","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE61577","Bap1 loss results in EZH2 dependent transformation","Homo sapiens","2015-10-05","6",""
2136,"GSE73418","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73418","Genetic and epigenetic variation in the lineage specification of regulatory T cells","Homo sapiens","2015-10-05","34",""
2137,"GSE68686","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE68686","In beta-actin knockout mouse embryonic fibroblasts epigenetic reprogramming and chromatin modifications lead to rDNA transcription inactivation and defects in cell growth and proliferation","Mus musculus","2015-10-04","4",""
2138,"GSE73698","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73698","Engineered mammalian RNAi can elicit antiviral protection that negates the requirement for the interferon response","Homo sapiens; Mus mu","2015-10-03","12","rna_seq"
2139,"GSE73678","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73678","Canonical poly(A) polymerase activity promotes the decay of a wide variety of mammalian nuclear RNAs","Mus musculus","2015-10-03","10","rna_seq"
2140,"GSE64773","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE64773","Microarray data from L-GMPs and GMPs","Mus musculus","2015-10-02","8",""
2141,"GSE64776","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE64776","Microarray data of human MLLr AML cells with or without CD93 expression","Homo sapiens","2015-10-02","10",""
2142,"GSE71858","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71858","Fixed single-cell transcriptomic characterization of human radial glial diversity","Mus musculus","2015-10-02","45",""
2143,"GSE69755","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE69755","CLIP-seq analysis of cytoplasmic poly(A) binding protein-1 reveals binding to genomically encoded sequences within mammalian mRNAs","Homo sapiens","2015-10-02","5","rna_seq"
2144,"GSE69822","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE69822","Perturbations of PIP3 signaling trigger a global remodeling of mRNA landscape and reveal a transcriptional feedback loop","Homo sapiens","2015-10-02","75","rna_seq"
2145,"GSE70832","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70832","Method for accurate epigenome profiling using a few hundred cells and its applications","Mus musculus","2015-10-02","19",""
2146,"GSE71520","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71520","Synergistic gene expression signature observed in TK6 cells upon co-exposure to UVC-irradiation and protein kinase C-activating tumor promoters, a dosage study (study 2/2)","Homo sapiens","2015-10-02","21",""
2147,"GSE71519","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71519","Synergistic gene expression signature observed in TK6 cells upon co-exposure to UVC-irradiation and protein kinase C-activating tumor promoters, a time course study (study 1/2)","Mus musculus","2015-10-02","41",""
2148,"GSE67372","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE67372","Next Generation Sequencing Facilitates Quantitative Analysis of Wild Type, 4L;C* and Isofagamine treated 4L;C* region specifics mouse brain miRNA profile (miRNA-Seq)","Homo sapiens","2015-10-01","36","rna_seq"
2149,"GSE67374","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE67374","Next Generation Sequencing Facilitates Quantitative Analysis of Wild Type, 4L;C* and Isofagamine treated 4L;C* region specifics mouse brain Transcriptomes (RNA-Seq)","Homo sapiens","2015-10-01","35","rna_seq"
2150,"GSE62795","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE62795","Monocytic myeloid-derived suppressor cells accumulate in the lungs of influenza A virus-infected mice","Mus musculus","2015-10-01","9",""
2151,"GSE62277","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE62277","Genome-wide profiling of DNA methylation at single-base resolution based on MeDIP-bisulfite high-throughput sequencing and ridge regression (MethyC + MeDIP)","Mus musculus","2015-10-01","5",""
2152,"GSE62276","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE62276","Genome-wide profiling of DNA methylation at single-base resolution based on MeDIP-bisulfite high-throughput sequencing and ridge regression (RNA)","Mus musculus","2015-10-01","2","rna_seq"
2153,"GSE62272","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE62272","YAP drives proliferation and tumorigenesis by recruiting Mediator to super- enhancer elements (CClp1)","Homo sapiens","2015-10-01","6",""
2154,"GSE62279","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE62279","Genome-wide profiling of DNA methylation at single-base resolution based on MeDIP-bisulfite high-throughput sequencing and ridge regression (MB)","Homo sapiens","2015-10-01","5",""
2155,"GSE68388","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE68388","YAP drives growth by controlling transcriptional pause release from dynamic enhancers (HuCCT1_siRNA)","Homo sapiens","2015-10-01","18","rna_seq"
2156,"GSE68296","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE68296","YAP drives growth by controlling transcriptional pause release from dynamic enhancers (HuCCT1)","Homo sapiens","2015-10-01","8",""
2157,"GSE71476","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71476","Hoxa5 undergoes dynamic DNA methylation and transcriptional repression in the adipose tissue of mice exposed to high-fat diet","Homo sapiens","2015-10-01","2",""
2158,"GSE73216","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73216","Dose-dependent role of the cohesin complex in normal and malignant hematopoiesis [RNA-Seq]","Homo sapiens","2015-10-01","8","rna_seq "
2159,"GSE61268","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE61268","HOTAIR or shHOTAIR lentiviral infected prostate cancer cells [ChIP-Seq]","Mus musculus","2015-10-01","9",""
2160,"GSE62207","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE62207","Ileal immune maturation in Pediatric Crohn's Disease","Mus musculus","2015-10-01","310",""
2161,"GSE58963","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE58963","IL-1_ and SERPINA3 are markers of an aggressive Barrettês Oesophagus phenotype identified using mRNA sequencing","Homo sapiens","2015-10-01","21","rna_seq "
2162,"GSE48287","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48287","Genome-wide ChIP-Seq analysis of genomic Stat3 binding sites in murine gastric tumors following stimulation with IL6 or IL11 (CisGenome)","Homo sapiens","2015-10-01","3",""
2163,"GSE48285","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48285","Genome-wide ChIP-Seq analysis of genomic Stat3 binding sites in murine gastric tumors following stimulation with IL6 or IL11 (MACS)","Homo sapiens","2015-10-01","3",""
2164,"GSE61916","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE61916","Genome-wide maps of PARP-1-bound nucleosomes (human)","Mus musculus","2015-10-01","2",""
2165,"GSE71309","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71309","A mechanism for expansion of the regulatory T cell repertoire and its role in enforcing self-tolerance.","Mus musculus","2015-10-01","28",""
2166,"GSE68971","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE68971","Promoter targeted bisulfite sequencing reveals DNA methylation profiles associated with low sperm motility in asthenozoospermia","Homo sapiens","2015-10-01","30",""
2167,"GSE69800","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE69800","Ribosome profiling analysis of GADD34 null cells","Mus musculus","2015-10-01","40",""
2168,"GSE73447","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73447","Atrx facilitate normal neuronal differentiation","Homo sapiens","2015-10-01","10",""
2169,"GSE71408","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71408","Evasion of affinity-based selection in germinal centers by Epstein-Barr virus LMP2A","Mus musculus","2015-10-01","8",""
2170,"GSE62398","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE62398","mRNA sequencing of Trim71 conditional (WT) and Trim71 KO mES cells","Mus musculus","2015-10-01","8","rna_seq"
2171,"GSE62442","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE62442","Androgen receptor DNA binding in response to different ligands across three prostate cancer cell lines","Mus musculus","2015-10-01","15",""
2172,"GSE65619","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65619","Transcriptome profiling of isolated mammalian myotube cultures that ectopically overexpress msx2","Mus musculus","2015-10-01","16",""
2173,"GSE64035","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE64035","The epigenetic processes of meiosis in male mice are broadly affected by the widely used herbicide atrazine [ChIP-Seq]","Homo sapiens","2015-10-01","6",""
2174,"GSE64055","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE64055","Identifying active cis-regulatory elements during the development of the limbs and external genitalia in the mouse and lizard.","Mus musculus","2015-10-01","21","rna_seq"
2175,"GSE68509","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE68509","Akt1/Protein Kinase B Enhances Transcriptional Reprogramming of Fibroblasts to Functional Cardiomyocytes","Mus musculus","2015-10-01","12",""
2176,"GSE64684","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE64684","Extensive Nuclear Reprogramming Underlies Lineage Conversion into Functional Trophoblast Stem-like Cells","Mus musculus; Anolis","2015-10-01","10",""
2177,"GSE65887","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65887","hnRNPK is involved in mRNA processing of a significant fraction of the transcriptome","Mus musculus","2015-10-01","26","rna_seq"
2178,"GSE62509","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE62509","miRNA sequencing of Trim71 conditional (WT) and Trim71 KO mES cells","Mus musculus","2015-10-01","11","rna_seq"
2179,"GSE59293","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE59293","Genome-wide analysis of H3K27me3 in Ezh2-conditional iMEFs","Mus musculus","2015-10-01","12",""
